FileName;Grup;ER;AR;ShortName;Colors
GSM26878.CEL;APO;NO;YES;;ORANGE
GSM26883.CEL;APO;NO;YES;;ORANGE
GSM26886.CEL;APO;NO;YES;;ORANGE
GSM26887.CEL;APO;NO;YES;;ORANGE
GSM26903.CEL;APO;NO;YES;;ORANGE
GSM26910.CEL;APO;NO;YES;;ORANGE
GSM26871.CEL;BAS;NO;NO;;PURPLE
GSM26880.CEL;BAS;NO;NO;;PURPLE
GSM26882.CEL;BAS;NO;NO;;PURPLE
GSM26884.CEL;BAS;NO;NO;;PURPLE
GSM26888.CEL;BAS;NO;NO;;PURPLE
GSM26889.CEL;BAS;NO;NO;;PURPLE
GSM26892.CEL;BAS;NO;NO;;PURPLE
GSM26893.CEL;BAS;NO;NO;;PURPLE
GSM26895.CEL;BAS;NO;NO;;PURPLE
GSM26898.CEL;BAS;NO;NO;;PURPLE
GSM26900.CEL;BAS;NO;NO;;PURPLE
GSM26902.CEL;BAS;NO;NO;;PURPLE
GSM26905.CEL;BAS;NO;NO;;PURPLE
GSM26906.CEL;BAS;NO;NO;;PURPLE
GSM26908.CEL;BAS;NO;NO;;PURPLE
GSM26912.CEL;BAS;NO;NO;;PURPLE
GSM26804.CEL;LUMI;YES;YES;;YELLOW
GSM26867.CEL;LUMI;YES;YES;;YELLOW
GSM26868.CEL;LUMI;YES;YES;;YELLOW
GSM26869.CEL;LUMI;YES;YES;;YELLOW
GSM26870.CEL;LUMI;YES;YES;;YELLOW
GSM26872.CEL;LUMI;YES;YES;;YELLOW
GSM26873.CEL;LUMI;YES;YES;;YELLOW
GSM26874.CEL;LUMI;YES;YES;;YELLOW
GSM26875.CEL;LUMI;YES;YES;;YELLOW
GSM26876.CEL;LUMI;YES;YES;;YELLOW
GSM26877.CEL;LUMI;YES;YES;;YELLOW
GSM26879.CEL;LUMI;YES;YES;;YELLOW
GSM26881.CEL;LUMI;YES;YES;;YELLOW
GSM26885.CEL;LUMI;YES;YES;;YELLOW
GSM26890.CEL;LUMI;YES;YES;;YELLOW
GSM26891.CEL;LUMI;YES;YES;;YELLOW
GSM26894.CEL;LUMI;YES;YES;;YELLOW
GSM26896.CEL;LUMI;YES;YES;;YELLOW
GSM26897.CEL;LUMI;YES;YES;;YELLOW
GSM26899.CEL;LUMI;YES;YES;;YELLOW
GSM26901.CEL;LUMI;YES;YES;;YELLOW
GSM26904.CEL;LUMI;YES;YES;;YELLOW
GSM26907.CEL;LUMI;YES;YES;;YELLOW
GSM26909.CEL;LUMI;YES;YES;;YELLOW
GSM26911.CEL;LUMI;YES;YES;;YELLOW
GSM26913.CEL;LUMI;YES;YES;;YELLOW
GSM26914.CEL;LUMI;YES;YES;;YELLOW